Index,UID,Term,alias_1,alias_2,alias_3,alias_4,alias_5,Definition,Title,Author,Year,Link,Combined,Annotations,text,categories_1,categories_2,categories_3
1,murphy_0001,Abaca,,,,,,"the name given in the philippine islands to the musa textihs, the plantain from the inner bark of which manila hemp is obtained.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Abaca: the name given in the philippine islands to the musa textihs, the plantain from the inner bark of which manila hemp is obtained.",textile fibres,"Abaca: the name given in the philippine islands to the musa textihs, the plantain from the inner bark of which manila hemp is obtained.",textile fibres,,
2,murphy_0002,Abb,,,,,,"weft, or woof; fleece skirtings; in some districts the term was applied to both warp and weft yarns.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Abb: weft, or woof; fleece skirtings; in some districts the term was applied to both warp and weft yarns.",textile patterns,"Abb: weft, or woof; fleece skirtings; in some districts the term was applied to both warp and weft yarns.",textile fabric components,,
3,murphy_0003,Abb Wool,,,,,,wool for warp yarns.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Abb Wool: wool for warp yarns.,textile fibres,Abb Wool: wool for warp yarns.,textile fibres,,
4,murphy_0004,Abroma,,,,,,"the rope fibre derived from the bark of the abroma luigtisfa, a handsome flowering tree grown in the east indies.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Abroma: the rope fibre derived from the bark of the abroma luigtisfa, a handsome flowering tree grown in the east indies.",textile fibres,"Abroma: the rope fibre derived from the bark of the abroma luigtisfa, a handsome flowering tree grown in the east indies.",textile fibres,,
5,murphy_0005,Acetate Of Alumina,,,,,,"a mordant largely employed in calico printing and dyeing, known as ""red liquor"" in the trade; commonly made by (i) dissolving alumina in acetic acid, (2) mixing together solutions of lime acetate and aluminium sulphate, (3) mixing lead acetate with alum or sulphate of alumina.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Acetate Of Alumina: a mordant largely employed in calico printing and dyeing, known as ""red liquor"" in the trade; commonly made by (i) dissolving alumina in acetic acid, (2) mixing together solutions of lime acetate and aluminium sulphate, (3) mixing lead acetate with alum or sulphate of alumina.",chemicals,"Acetate Of Alumina: a mordant largely employed in calico printing and dyeing, known as ""red liquor"" in the trade; commonly made by (i) dissolving alumina in acetic acid, (2) mixing together solutions of lime acetate and aluminium sulphate, (3) mixing lead acetate with alum or sulphate of alumina.",chemicals,dyes,
6,murphy_0006,Acetate Of Iron,,,,,,"the mordant known as ""black liquor"", produced by combining iron with acetic acid.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Acetate Of Iron: the mordant known as ""black liquor"", produced by combining iron with acetic acid.",chemicals,"Acetate Of Iron: the mordant known as ""black liquor"", produced by combining iron with acetic acid.",chemicals,,
7,murphy_0007,Acetate Of Lead,,,,,,"commonly named ""sugar of lead"" because of its sweet taste, and obtained by combining acetic acid with metallic lead. acetate of lead is employed as a conditioning and weighting agent for silks.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Acetate Of Lead: commonly named ""sugar of lead"" because of its sweet taste, and obtained by combining acetic acid with metallic lead. acetate of lead is employed as a conditioning and weighting agent for silks.",chemicals,"Acetate Of Lead: commonly named ""sugar of lead"" because of its sweet taste, and obtained by combining acetic acid with metallic lead. acetate of lead is employed as a conditioning and weighting agent for silks.",chemicals,,
8,murphy_0008,Acetate Of Lime,,,,,,"prepared by neutralizing acetic acid with lime or chalk, and used in the preparation of extract colours in calico printing.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Acetate Of Lime: prepared by neutralizing acetic acid with lime or chalk, and used in the preparation of extract colours in calico printing.",chemicals,"Acetate Of Lime: prepared by neutralizing acetic acid with lime or chalk, and used in the preparation of extract colours in calico printing.",chemicals,,
9,murphy_0009,Acetic Acid,,,,,,"chemically described as methul-formic acid, and formed by acetous fermentations of alcohol, acetic acid is one of the most useful agents used by calico printers and dyers, because it is a solvent of aniline dyes as well as of metallic oxides and colour lakes; used largely in wool dyeing with acid colours.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Acetic Acid: chemically described as methul-formic acid, and formed by acetous fermentations of alcohol, acetic acid is one of the most useful agents used by calico printers and dyers, because it is a solvent of aniline dyes as well as of metallic oxides and colour lakes; used largely in wool dyeing with acid colours.",chemicals,"Acetic Acid: chemically described as methul-formic acid, and formed by acetous fermentations of alcohol, acetic acid is one of the most useful agents used by calico printers and dyers, because it is a solvent of aniline dyes as well as of metallic oxides and colour lakes; used largely in wool dyeing with acid colours.",chemicals,dyes,
10,murphy_0010,Acetin,,,,,,"acetic glycerine ; obtained by combination of glacial acetic acid and glycerine, one part of the latter to two of the former, at boiling-point; a costly but effective solvent.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Acetin: acetic glycerine ; obtained by combination of glacial acetic acid and glycerine, one part of the latter to two of the former, at boiling-point; a costly but effective solvent.",chemicals,"Acetin: acetic glycerine ; obtained by combination of glacial acetic acid and glycerine, one part of the latter to two of the former, at boiling-point; a costly but effective solvent.",chemicals,,
11,murphy_0011,Acid,,,,,,a substance capable of uniting with bases to form salts by the substitution of its hydrogen by the base.,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,Acid: a substance capable of uniting with bases to form salts by the substitution of its hydrogen by the base.,chemicals,Acid: a substance capable of uniting with bases to form salts by the substitution of its hydrogen by the base.,chemicals,,
12,murphy_0012,Acid Colours,,,,,,"a class of coal-tar colours, usually themselves colourless salts, but having the property of combining with acids to form colour bases or dyes.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Acid Colours: a class of coal-tar colours, usually themselves colourless salts, but having the property of combining with acids to form colour bases or dyes.",chemicals,"Acid Colours: a class of coal-tar colours, usually themselves colourless salts, but having the property of combining with acids to form colour bases or dyes.",dyes,,
13,murphy_0013,Actias,,,,,,"a genus of silk moths found in india, producing a silk unreliable in colour, but otherwise useful ; the best known is named actias selene.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Actias: a genus of silk moths found in india, producing a silk unreliable in colour, but otherwise useful ; the best known is named actias selene.",textile fibres,"Actias: a genus of silk moths found in india, producing a silk unreliable in colour, but otherwise useful ; the best known is named actias selene.",textile fibres,,
14,murphy_0014,Adjective Dyes,,,,,,"colouring substances attached to fibres by mordants, and changing in character with the kind of mordant.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Adjective Dyes: colouring substances attached to fibres by mordants, and changing in character with the kind of mordant.","chemicals, dyes","Adjective Dyes: colouring substances attached to fibres by mordants, and changing in character with the kind of mordant.",dyes,,
15,murphy_0015,Agave,,,,,,"the fibre derived from the american aloe, which has been found useful in rope and twine manufacture.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Agave: the fibre derived from the american aloe, which has been found useful in rope and twine manufacture.",textile fibres,"Agave: the fibre derived from the american aloe, which has been found useful in rope and twine manufacture.",textile fibres,,
16,murphy_0016,Ageing,,,,,,"the process of oxidizing the bleaching agent in the cloths, which are taken from the chlorine bath and left lying exposed to the air. the term is used generally to denote oxidizing by exposure to the air.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Ageing: the process of oxidizing the bleaching agent in the cloths, which are taken from the chlorine bath and left lying exposed to the air. the term is used generally to denote oxidizing by exposure to the air.",manufacturing processes,"Ageing: the process of oxidizing the bleaching agent in the cloths, which are taken from the chlorine bath and left lying exposed to the air. the term is used generally to denote oxidizing by exposure to the air.",manufacturing processes,,
17,murphy_0017,Ailanthus,,,,,,"the name given to a kind of silkworm, attacus cynthia, because it feeds on the ailanthus glandulosa, a. tree grown in italy and france.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Ailanthus: the name given to a kind of silkworm, attacus cynthia, because it feeds on the ailanthus glandulosa, a. tree grown in italy and france.",other,"Ailanthus: the name given to a kind of silkworm, attacus cynthia, because it feeds on the ailanthus glandulosa, a. tree grown in italy and france.",textile fibres,,
18,murphy_0018,Alencon,,,,,,"point d'alencon; a guipure or point lace, composed of simple stitches, the loops being linked into each other over groups of transverse threads, but capable of being wrought into forms of remarkable beauty and intricacy.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Alencon: point d'alencon; a guipure or point lace, composed of simple stitches, the loops being linked into each other over groups of transverse threads, but capable of being wrought into forms of remarkable beauty and intricacy.",textile fabrics,"Alencon: point d'alencon; a guipure or point lace, composed of simple stitches, the loops being linked into each other over groups of transverse threads, but capable of being wrought into forms of remarkable beauty and intricacy.",textile fabrics,,
19,murphy_0019,Algin,,,,,,"extract of marine plants of the zostera genus, employed in the dressing and finishing of fabrics.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Algin: extract of marine plants of the zostera genus, employed in the dressing and finishing of fabrics.",chemicals,"Algin: extract of marine plants of the zostera genus, employed in the dressing and finishing of fabrics.",chemicals,,
20,murphy_0020,Alizarin,,,,,,"the colouring principle of madder, artificially obtained by converting anthracene through a process of oxidization and treatment with sulphuric acid. there is a large class of alizarine colours.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Alizarin: the colouring principle of madder, artificially obtained by converting anthracene through a process of oxidization and treatment with sulphuric acid. there is a large class of alizarine colours.","chemicals, dyes","Alizarin: the colouring principle of madder, artificially obtained by converting anthracene through a process of oxidization and treatment with sulphuric acid. there is a large class of alizarine colours.",dyes,,
21,murphy_0021,Alkali,,,,,,"a base capable of forming salts and having the power of changing blue vegetable matter to green. soda, potash, and ammonia are the alkalis.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Alkali: a base capable of forming salts and having the power of changing blue vegetable matter to green. soda, potash, and ammonia are the alkalis.","chemicals, dyes","Alkali: a base capable of forming salts and having the power of changing blue vegetable matter to green. soda, potash, and ammonia are the alkalis.",chemicals,,
22,murphy_0022,Alpaca,,,,,,"the auchenia paco of zoology, and generally known as a species of llama domesticated in peru, possessing a long, silky fleece; the long, silky wool of the alpaca; the fine, lustrous cloth woven with yarns spun from alpaca wool ; the fine worsted or union cloths iniitating alpaca.","The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",William S. Murphy,1911,https://archive.org/details/textileindustrie08murp,"Alpaca: the auchenia paco of zoology, and generally known as a species of llama domesticated in peru, possessing a long, silky fleece; the long, silky wool of the alpaca; the fine, lustrous cloth woven with yarns spun from alpaca wool ; the fine worsted or union cloths iniitating alpaca.",textile fibres,"Alpaca: the auchenia paco of zoology, and generally known as a species of llama domesticated in peru, possessing a long, silky fleece; the long, silky wool of the alpaca; the fine, lustrous cloth woven with yarns spun from alpaca wool ; the fine worsted or union cloths iniitating alpaca.",textile fibres,textile fabrics,
