Index,UID,Term,alias_1,alias_2,alias_3,alias_4,alias_5,Definition,categories_1,categories_2,categories_3,Author,Title,Year,Link
1,murphy_0001,abaca,,,,,,"the name given in the philippine islands to the musa textihs, the plantain from the inner bark of which manila hemp is obtained.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
2,murphy_0002,abb,,,,,,"weft, or woof; fleece skirtings; in some districts the term was applied to both warp and weft yarns.",textile fabric component,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
3,murphy_0003,abb wool,,,,,,wool for warp yarns.,textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
4,murphy_0004,abroma,,,,,,"the rope fibre derived from the bark of the abroma luigtisfa, a handsome flowering tree grown in the east indies.",textile fibre,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
5,murphy_0005,acetate of alumina,,,,,,"a mordant largely employed in calico printing and dyeing, known as ""red liquor"" in the trade; commonly made by (i) dissolving alumina in acetic acid, (2) mixing together solutions of lime acetate and aluminium sulphate, (3) mixing lead acetate with alum or sulphate of alumina.",textile manufacturing chemical,textile dye,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
6,murphy_0006,acetate of iron,,,,,,"the mordant known as ""black liquor"", produced by combining iron with acetic acid.",textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
7,murphy_0007,acetate of lead,,,,,,"commonly named ""sugar of lead"" because of its sweet taste, and obtained by combining acetic acid with metallic lead. acetate of lead is employed as a conditioning and weighting agent for silks.",textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
8,murphy_0008,acetate of lime,,,,,,"prepared by neutralizing acetic acid with lime or chalk, and used in the preparation of extract colours in calico printing.",textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
9,murphy_0009,acetic acid,,,,,,"chemically described as methul-formic acid, and formed by acetous fermentations of alcohol, acetic acid is one of the most useful agents used by calico printers and dyers, because it is a solvent of aniline dyes as well as of metallic oxides and colour lakes; used largely in wool dyeing with acid colours.",textile manufacturing chemical,textile dye,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
10,murphy_0010,acetin,,,,,,"acetic glycerine ; obtained by combination of glacial acetic acid and glycerine, one part of the latter to two of the former, at boiling-point; a costly but effective solvent.",textile manufacturing chemical,,,William S. Murphy,"The textile industries : a practical guide to fibres, yarns & fabrics in every branch of textile manufacture, including preparation of fibres, spinning, doubling, designing, weaving, bleaching, printing, dyeing and finishing vol. 8",1911,https://archive.org/details/textileindustrie08murp
