tokenized_text,ner
"['In', 'the', 'early', '20th', 'century', ',', 'the', 'textile', 'industry', 'saw', 'significant', 'advancements', 'with', 'the', 'introduction', 'of', 'the', 'angle-stripper', '.', 'This', 'innovative', 'carding', 'roller', 'played', 'a', 'crucial', 'role', 'by', 'drawing', 'the', 'wool', 'from', 'the', 'licker-in', 'and', 'efficiently', 'transferring', 'it', 'to', 'the', 'cylinder', 'of', 'the', 'scribbler', '.', 'The', 'design', 'of', 'the', 'angle-stripper', 'allowed', 'for', 'improved', 'processing', 'speeds', 'and', 'better', 'quality', 'fiber', 'preparation', ',', 'which', 'revolutionized', 'wool', 'production', 'at', 'the', 'time', '.']","[[17, 17, 'Textile Machinery']]"
"['In', 'traditional', 'weaving', ',', 'the', 'shuttle', 'boxes', 'play', 'a', 'crucial', 'role', 'at', 'both', 'ends', 'of', 'the', 'slay', ',', 'providing', 'a', 'resting', 'place', 'for', 'the', 'shuttles', 'as', 'they', 'traverse', 'back', 'and', 'forth', 'across', 'the', 'loom', '.', 'These', 'shuttle', 'boxes', 'are', 'designed', 'to', 'ensure', 'smooth', 'movement', 'and', 'efficient', 'operation', 'of', 'the', 'loom', ',', 'allowing', 'for', 'a', 'continuous', 'flow', 'of', 'the', 'weft', 'thread', '.', 'The', 'integration', 'of', 'shuttle', 'boxes', 'into', 'the', 'loom', 'design', 'has', 'significantly', 'enhanced', 'the', 'weaving', 'process', ',', 'making', 'it', 'more', 'efficient', 'and', 'reducing', 'the', 'wear', 'on', 'the', 'shuttles', 'themselves', '.']","[[5, 6, 'Textile Machinery']]"
"['In', 'the', 'world', 'of', 'weaving', ',', 'shuttle', 'boxes', 'play', 'an', 'essential', 'role', 'in', 'ensuring', 'the', 'smooth', 'operation', 'of', 'looms', '.', 'These', 'boxes', ',', 'located', 'at', 'both', 'ends', 'of', 'the', 'slay', ',', 'provide', 'a', 'resting', 'place', 'for', 'the', 'shuttles', ',', 'which', 'carry', 'the', 'weft', 'yarn', 'across', 'the', 'warp', '.', 'The', 'design', 'of', 'the', 'shuttle', 'boxes', 'has', 'evolved', 'over', 'time', ',', 'but', 'their', 'primary', 'function', 'remains', 'the', 'same', ':', 'to', 'facilitate', 'the', 'quick', 'and', 'efficient', 'movement', 'of', 'the', 'shuttle', 'during', 'the', 'weaving', 'process', '.', 'Modern', 'looms', 'often', 'feature', 'advanced', 'shuttle', 'boxes', 'that', 'improve', 'the', 'overall', 'speed', 'and', 'efficiency', 'of', 'textile', 'production', '.']","[[6, 7, 'Textile Machinery']]"
"['The', 'circular', 'frame', 'is', 'a', 'revolutionary', 'piece', 'of', 'textile', 'machinery', 'that', 'has', 'transformed', 'the', 'knitting', 'industry', '.', 'Originally', 'invented', 'by', 'Brunei', ',', 'this', 'round', 'knitting', 'machine', 'has', 'undergone', 'continuous', 'improvements', 'by', 'skilled', 'machinists', '.', 'Various', 'forms', 'of', 'the', 'circular', 'frame', 'are', 'now', 'employed', 'in', 'knitting', 'factories', 'around', 'the', 'world', ',', 'allowing', 'for', 'increased', 'efficiency', 'and', 'diverse', 'patterns', 'in', 'knitted', 'fabrics', '.']","[[1, 2, 'Textile Machinery']]"
"['In', 'the', 'early', '20th', 'century', ',', 'factories', 'began', 'to', 'incorporate', 'advanced', 'textile', 'machinery', 'to', 'improve', 'efficiency', '.', 'One', 'such', 'innovation', 'was', 'the', 'angle-stripper', ',', 'a', 'crucial', 'component', 'in', 'the', 'carding', 'process', '.', 'The', 'angle-stripper', 'functions', 'by', 'drawing', 'the', 'wool', 'from', 'the', 'licker-in', 'and', 'transferring', 'it', 'to', 'the', 'cylinder', 'of', 'the', 'scribbler', ',', 'ensuring', 'a', 'smooth', 'and', 'consistent', 'flow', 'of', 'material', '.', 'This', 'development', 'revolutionized', 'wool', 'processing', 'and', 'set', 'the', 'stage', 'for', 'modern', 'textile', 'production', 'techniques', '.']","[[22, 22, 'Textile Machinery']]"
"['The', 'circular', 'frame', 'is', 'a', 'pivotal', 'invention', 'in', 'the', 'history', 'of', 'textile', 'machinery', ',', 'originally', 'brought', 'to', 'life', 'by', 'Brunei', '.', 'Over', 'the', 'years', ',', 'machinists', 'have', 'continuously', 'improved', 'upon', 'its', 'design', ',', 'enabling', 'it', 'to', 'adapt', 'to', 'various', 'knitting', 'applications', 'in', 'factories', '.', 'The', 'circular', 'frame', 'allows', 'for', 'efficient', 'production', 'of', 'knitted', 'fabrics', ',', 'utilizing', 'its', 'round', 'knitting', 'capabilities', 'to', 'create', 'seamless', 'garments', 'and', 'intricate', 'patterns', '.', 'Its', 'versatility', 'makes', 'it', 'a', 'staple', 'in', 'modern', 'textile', 'manufacturing', 'processes', '.']","[[1, 2, 'Textile Machinery']]"
"['In', 'the', 'early', '20th', 'century', ',', 'the', 'introduction', 'of', 'anti-friction', 'bowls', 'revolutionized', 'textile', 'manufacturing', '.', 'These', 'small', 'rollers', 'fitted', 'into', 'levers', 'on', 'many', 'textile', 'machines', 'were', 'designed', 'to', 'reduce', 'friction', ',', 'which', 'significantly', 'enhanced', 'the', 'efficiency', 'of', 'machines', 'like', 'the', 'shuttle', 'loom', 'and', 'the', 'spinning', 'frame', '.', 'The', 'anti-friction', 'bowls', 'allowed', 'for', 'smoother', 'operation', 'and', 'less', 'wear', 'on', 'moving', 'parts', ',', 'leading', 'to', 'longer', 'lifespans', 'for', 'the', 'machinery', 'and', 'increased', 'productivity', 'in', 'textile', 'mills', '.']","[[9, 10, 'textile machinery'], [40, 41, 'textile machinery'], [44, 45, 'textile machinery']]"
"['In', 'the', 'early', '20th', 'century', ',', 'textile', 'manufacturing', 'saw', 'significant', 'advancements', 'with', 'the', 'introduction', 'of', 'various', 'machines', 'designed', 'to', 'enhance', 'efficiency', '.', 'One', 'such', 'innovation', 'was', 'the', 'incorporation', 'of', 'anti-friction', 'bowls', ',', 'which', 'are', 'small', 'rollers', 'fitted', 'into', 'levers', 'on', 'many', 'textile', 'machines', 'to', 'reduce', 'friction', ',', 'allowing', 'for', 'smoother', 'operation', '.', 'This', 'led', 'to', 'increased', 'production', 'speeds', 'and', 'reduced', 'wear', 'on', 'the', 'machines', '.', 'Additionally', ',', 'the', 'use', 'of', 'modern', 'looms', 'and', 'spinning', 'frames', 'complemented', 'the', 'functionality', 'of', 'these', 'anti-friction', 'bowls', ',', 'significantly', 'improving', 'the', 'overall', 'textile', 'production', 'process', '.']","[[29, 30, 'Textile Machinery']]"
"['In', 'the', 'early', '20th', 'century', ',', 'textile', 'manufacturers', 'began', 'utilizing', 'advanced', 'equipment', 'to', 'enhance', 'their', 'production', 'capabilities', '.', 'One', 'crucial', 'component', 'of', 'drawing', 'and', 'spinning', 'frames', 'was', 'the', 'back', 'roller', ',', 'which', 'played', 'an', 'essential', 'role', 'in', 'the', 'processing', 'of', 'sliver', 'and', 'roving', '.', 'This', 'back', 'roller', 'ensured', 'that', 'the', 'material', 'was', 'evenly', 'drawn', 'and', 'prepared', 'for', 'the', 'next', 'phases', 'of', 'textile', 'production', '.', 'Additionally', ',', 'the', 'integration', 'of', 'various', 'rollers', 'improved', 'the', 'efficiency', 'of', 'the', 'weaving', 'process', ',', 'allowing', 'for', 'higher', 'quality', 'fabrics', '.']","[[28, 29, 'Textile Machinery']]"
"['In', 'the', 'realm', 'of', 'textile', 'production', ',', 'the', 'drawing', 'frame', 'plays', 'a', 'crucial', 'role', 'in', 'preparing', 'fibers', 'for', 'spinning', '.', 'Among', 'its', 'key', 'components', 'is', 'the', 'back', 'roller', ',', 'which', 'is', 'essential', 'for', 'taking', 'in', 'the', 'sliver', 'or', 'roving', 'during', 'the', 'drawing', 'process', '.', 'This', 'machinery', 'ensures', 'a', 'consistent', 'feed', 'of', 'material', ',', 'contributing', 'to', 'the', 'overall', 'quality', 'of', 'the', 'yarn', 'produced', '.', 'The', 'operation', 'of', 'the', 'back', 'roller', 'is', 'vital', 'for', 'maintaining', 'the', 'tension', 'and', 'uniformity', 'required', 'in', 'subsequent', 'processing', 'steps', '.']","[[26, 27, 'Textile Machinery']]"
